MFB50,IMEP,Pmax
18,8.614402771,35.416
4.75,9.006469727,51.574
9.5,8.855937004,44.46
27.5,8.06166935,26.255
5.75,8.842396736,48.871
8.5,8.902855873,46.188
15.75,8.608522415,36.687
6.5,8.965452194,49.006
7.75,8.84420681,45.823
19.5,8.508560181,32.317
9.25,8.818957329,45.228
14.75,8.58615303,38.607
22,8.396837234,30.143
6.5,8.64902401,47.165
7.5,8.932179451,48.108
18.25,8.596761703,34.146
11.25,8.818957329,42.773
6.25,8.943909645,48.203
20.25,8.485039711,33.223
7.25,8.772079468,46.628
8.75,8.838341713,46.514
18.25,8.561481476,34.396
10.5,8.590426445,42.006
6.25,8.885260582,48.164
22,8.385077477,30.932
11.5,8.783799171,42.564
9.75,8.773828506,43.327
17.5,8.632042885,35.609
12,8.736920357,41.145
12.25,8.726909637,41.293
15.75,8.79080677,37.186
5,8.836536407,50.234
9.25,8.961503983,45.785
19.5,8.490920067,33.589
5.5,8.672463417,47.509
5.5,8.809018135,49.835
20.5,8.408597946,32.029
6.5,8.86583519,48.374
10.25,8.955638885,43.27
18.5,8.620282173,34.414
8.75,9.012330055,46.129
5.25,8.885260582,49.45
20.75,8.496799469,31.894
9.75,8.736920357,43.233
11,8.820747375,44.46
20.5,8.537961006,31.798
6.5,8.818957329,47.472
6.5,9.072936058,49.528
17.5,8.696724892,35.088
8.25,8.807237625,46.417
6,8.785558701,48.606
15.25,8.902529716,38.554
11,8.942012787,41.796
14.75,8.791422844,39.43
18.5,8.496799469,34.127
7.5,8.736920357,46.206
4,8.973234177,51.619
19.5,8.473278999,32.529
9,8.924433708,44.998
6.5,8.955638885,49.778
14,8.884888649,40.419
7,8.80137825,48.432
7.25,8.767963409,47.166
17.5,8.420357704,34.454
8.75,8.947872162,45.996
5,8.84420681,50.392
16,8.720245361,37.456
7.25,8.725200653,46.342
7.5,8.785558701,47.417
22,8.343915939,31.799
8.5,8.807237625,44.672
7.75,8.809018135,45.612
21.25,8.420357704,32.163
11,8.742780685,42.696
11.5,8.662396431,41.14
21,8.473278999,32.666
7.25,8.672463417,46.435
11.25,8.826612473,41.735
20,8.473278999,32.932
8.25,8.742780685,45.074
5.5,8.908720016,49.969
